Source,Type,Target,Weight
Александр Петрович,Undirected,Аристарх Доминикович,8
Александр Петрович,Undirected,Виктор Викторович,6
Александр Петрович,Undirected,Второй официант,1
Александр Петрович,Undirected,Груня,3
Александр Петрович,Undirected,Груня ,1
Александр Петрович,Undirected,Егорушка,5
Александр Петрович,Undirected,Зинка Падеспань,4
Александр Петрович,Undirected,Клеопатра Максимовна,1
Александр Петрович,Undirected,Костя,1
Александр Петрович,Undirected,Маргарита Ивановна,12
Александр Петрович,Undirected,Мария Лукьяновна,10
Александр Петрович,Undirected,Модистка,1
Александр Петрович,Undirected,Отец Елпидий,5
Александр Петрович,Undirected,Официант,1
Александр Петрович,Undirected,Первая старушка,1
Александр Петрович,Undirected,Портниха,1
Александр Петрович,Undirected,Пугачев,6
Александр Петрович,Undirected,Раиса Филипповна,6
Александр Петрович,Undirected,Семен Семенович,6
Александр Петрович,Undirected,Серафима Ильинична,6
Александр Петрович,Undirected,Степан Васильевич,1
Александр Петрович,Undirected,Цыгане,2
Аристарх Доминикович,Undirected,Виктор Викторович,9
Аристарх Доминикович,Undirected,Вторая старуха,1
Аристарх Доминикович,Undirected,Второй официант,1
Аристарх Доминикович,Undirected,Груня,2
Аристарх Доминикович,Undirected,Груня ,1
Аристарх Доминикович,Undirected,Дьякон,1
Аристарх Доминикович,Undirected,Егорушка,3
Аристарх Доминикович,Undirected,Зинка Падеспань,3
Аристарх Доминикович,Undirected,Клеопатра Максимовна,2
Аристарх Доминикович,Undirected,Костя,1
Аристарх Доминикович,Undirected,Маргарита Ивановна,7
Аристарх Доминикович,Undirected,Мария Лукьяновна,6
Аристарх Доминикович,Undirected,Модистка,1
Аристарх Доминикович,Undirected,Олег Леонидович,1
Аристарх Доминикович,Undirected,Отец Елпидий,9
Аристарх Доминикович,Undirected,Официант,1
Аристарх Доминикович,Undirected,Первая старуха,1
Аристарх Доминикович,Undirected,Первая старушка,1
Аристарх Доминикович,Undirected,Портниха,1
Аристарх Доминикович,Undirected,Пугачев,8
Аристарх Доминикович,Undirected,Раиса Филипповна,7
Аристарх Доминикович,Undirected,Семен Семенович,6
Аристарх Доминикович,Undirected,Серафима Ильинична,4
Аристарх Доминикович,Undirected,Степан Васильевич,1
Аристарх Доминикович,Undirected,Хор,2
Аристарх Доминикович,Undirected,Цыгане,2
Виктор Викторович,Undirected,Второй официант,1
Виктор Викторович,Undirected,Груня,2
Виктор Викторович,Undirected,Егорушка,2
Виктор Викторович,Undirected,Зинка Падеспань,2
Виктор Викторович,Undirected,Клеопатра Максимовна,2
Виктор Викторович,Undirected,Костя,1
Виктор Викторович,Undirected,Маргарита Ивановна,4
Виктор Викторович,Undirected,Мария Лукьяновна,2
Виктор Викторович,Undirected,Олег Леонидович,1
Виктор Викторович,Undirected,Отец Елпидий,7
Виктор Викторович,Undirected,Официант,1
Виктор Викторович,Undirected,Первая старушка,1
Виктор Викторович,Undirected,Пугачев,8
Виктор Викторович,Undirected,Раиса Филипповна,6
Виктор Викторович,Undirected,Семен Семенович,5
Виктор Викторович,Undirected,Серафима Ильинична,1
Виктор Викторович,Undirected,Степан Васильевич,1
Виктор Викторович,Undirected,Хор,1
Виктор Викторович,Undirected,Цыгане,2
Вторая старуха,Undirected,Первая старуха,2
Второй мальчик,Undirected,Первый мальчик ,1
Второй мальчик,Undirected,Семен Семенович,1
Второй мужик,Undirected,Мария Лукьяновна,1
Второй мужик,Undirected,Первый мужик,1
Второй мужик,Undirected,Серафима Ильинична,1
Второй официант,Undirected,Груня,1
Второй официант,Undirected,Зинка Падеспань,1
Второй официант,Undirected,Маргарита Ивановна,1
Второй официант,Undirected,Отец Елпидий,1
Второй официант,Undirected,Пугачев,1
Второй официант,Undirected,Раиса Филипповна,1
Второй официант,Undirected,Семен Семенович,1
Второй официант,Undirected,Степан Васильевич,1
Второй официант,Undirected,Цыгане,1
Груня ,Undirected,Егорушка,1
Груня ,Undirected,Зинка Падеспань,1
Груня ,Undirected,Маргарита Ивановна,1
Груня ,Undirected,Мария Лукьяновна,1
Груня ,Undirected,Пугачев,1
Груня ,Undirected,Раиса Филипповна,1
Груня ,Undirected,Серафима Ильинична,1
Груня,Undirected,Егорушка,1
Груня,Undirected,Зинка Падеспань,3
Груня,Undirected,Клеопатра Максимовна,1
Груня,Undirected,Костя,1
Груня,Undirected,Маргарита Ивановна,3
Груня,Undirected,Отец Елпидий,2
Груня,Undirected,Официант,1
Груня,Undirected,Пугачев,2
Груня,Undirected,Раиса Филипповна,3
Груня,Undirected,Семен Семенович,2
Груня,Undirected,Степан Васильевич,1
Груня,Undirected,Цыгане,2
Дьякон,Undirected,Маргарита Ивановна,1
Дьякон,Undirected,Мария Лукьяновна,1
Дьякон,Undirected,Отец Елпидий,2
Дьякон,Undirected,Пугачев,1
Дьякон,Undirected,Серафима Ильинична,1
Дьякон,Undirected,Хор,1
Егорушка,Undirected,Зинка Падеспань,2
Егорушка,Undirected,Клеопатра Максимовна,1
Егорушка,Undirected,Костя,1
Егорушка,Undirected,Маргарита Ивановна,4
Егорушка,Undirected,Мария Лукьяновна,5
Егорушка,Undirected,Отец Елпидий,1
Егорушка,Undirected,Официант,1
Егорушка,Undirected,Первая старушка,1
Егорушка,Undirected,Пугачев,3
Егорушка,Undirected,Раиса Филипповна,3
Егорушка,Undirected,Семен Семенович,1
Егорушка,Undirected,Серафима Ильинична,3
Егорушка,Undirected,Цыгане,1
Зинка Падеспань,Undirected,Клеопатра Максимовна,1
Зинка Падеспань,Undirected,Костя,1
Зинка Падеспань,Undirected,Маргарита Ивановна,4
Зинка Падеспань,Undirected,Мария Лукьяновна,1
Зинка Падеспань,Undirected,Отец Елпидий,2
Зинка Падеспань,Undirected,Официант,1
Зинка Падеспань,Undirected,Пугачев,3
Зинка Падеспань,Undirected,Раиса Филипповна,4
Зинка Падеспань,Undirected,Семен Семенович,2
Зинка Падеспань,Undirected,Серафима Ильинична,1
Зинка Падеспань,Undirected,Степан Васильевич,1
Зинка Падеспань,Undirected,Цыгане,2
Клеопатра Максимовна,Undirected,Костя,1
Клеопатра Максимовна,Undirected,Маргарита Ивановна,2
Клеопатра Максимовна,Undirected,Мария Лукьяновна,2
Клеопатра Максимовна,Undirected,Олег Леонидович,2
Клеопатра Максимовна,Undirected,Отец Елпидий,3
Клеопатра Максимовна,Undirected,Официант,1
Клеопатра Максимовна,Undirected,Пугачев,2
Клеопатра Максимовна,Undirected,Раиса Филипповна,2
Клеопатра Максимовна,Undirected,Семен Семенович,4
Клеопатра Максимовна,Undirected,Серафима Ильинична,1
Клеопатра Максимовна,Undirected,Хор,2
Клеопатра Максимовна,Undirected,Цыгане,1
Костя,Undirected,Маргарита Ивановна,1
Костя,Undirected,Отец Елпидий,1
Костя,Undirected,Официант,1
Костя,Undirected,Пугачев,1
Костя,Undirected,Раиса Филипповна,1
Костя,Undirected,Семен Семенович,1
Костя,Undirected,Цыгане,1
Маргарита Ивановна,Undirected,Мария Лукьяновна,10
Маргарита Ивановна,Undirected,Модистка,1
Маргарита Ивановна,Undirected,Олег Леонидович,1
Маргарита Ивановна,Undirected,Отец Елпидий,5
Маргарита Ивановна,Undirected,Официант,1
Маргарита Ивановна,Undirected,Первая старушка,1
Маргарита Ивановна,Undirected,Портниха,1
Маргарита Ивановна,Undirected,Пугачев,5
Маргарита Ивановна,Undirected,Раиса Филипповна,6
Маргарита Ивановна,Undirected,Семен Семенович,4
Маргарита Ивановна,Undirected,Серафима Ильинична,8
Маргарита Ивановна,Undirected,Степан Васильевич,1
Маргарита Ивановна,Undirected,Хор,2
Маргарита Ивановна,Undirected,Цыгане,2
Мария Лукьяновна,Undirected,Модистка,1
Мария Лукьяновна,Undirected,Олег Леонидович,1
Мария Лукьяновна,Undirected,Отец Елпидий,3
Мария Лукьяновна,Undirected,Отец Елпидий ,1
Мария Лукьяновна,Undirected,Первая старушка,1
Мария Лукьяновна,Undirected,Первый мужик,1
Мария Лукьяновна,Undirected,Портниха,1
Мария Лукьяновна,Undirected,Пугачев,3
Мария Лукьяновна,Undirected,Раиса Филипповна,3
Мария Лукьяновна,Undirected,Семен Семенович,9
Мария Лукьяновна,Undirected,Серафима Ильинична,18
Мария Лукьяновна,Undirected,Хор,3
Модистка,Undirected,Отец Елпидий,1
Модистка,Undirected,Портниха,1
Модистка,Undirected,Серафима Ильинична,1
Олег Леонидович,Undirected,Отец Елпидий,2
Олег Леонидович,Undirected,Пугачев,1
Олег Леонидович,Undirected,Раиса Филипповна,1
Олег Леонидович,Undirected,Семен Семенович,1
Олег Леонидович,Undirected,Серафима Ильинична,1
Олег Леонидович,Undirected,Хор,2
Отец Елпидий ,Undirected,Серафима Ильинична,1
Отец Елпидий ,Undirected,Хор,1
Отец Елпидий,Undirected,Официант,1
Отец Елпидий,Undirected,Портниха,1
Отец Елпидий,Undirected,Пугачев,7
Отец Елпидий,Undirected,Раиса Филипповна,5
Отец Елпидий,Undirected,Семен Семенович,5
Отец Елпидий,Undirected,Серафима Ильинична,3
Отец Елпидий,Undirected,Степан Васильевич,1
Отец Елпидий,Undirected,Хор,3
Отец Елпидий,Undirected,Цыгане,2
Официант,Undirected,Пугачев,1
Официант,Undirected,Раиса Филипповна,1
Официант,Undirected,Семен Семенович,1
Официант,Undirected,Цыгане,1
Первая старушка,Undirected,Пугачев,1
Первая старушка,Undirected,Раиса Филипповна,1
Первый мальчик ,Undirected,Семен Семенович,1
Первый мужик,Undirected,Семен Семенович,1
Первый мужик,Undirected,Серафима Ильинична,1
Портниха,Undirected,Серафима Ильинична,1
Пугачев,Undirected,Раиса Филипповна,6
Пугачев,Undirected,Семен Семенович,4
Пугачев,Undirected,Серафима Ильинична,2
Пугачев,Undirected,Степан Васильевич,1
Пугачев,Undirected,Хор,1
Пугачев,Undirected,Цыгане,2
Раиса Филипповна,Undirected,Семен Семенович,4
Раиса Филипповна,Undirected,Серафима Ильинична,2
Раиса Филипповна,Undirected,Степан Васильевич,1
Раиса Филипповна,Undirected,Хор,1
Раиса Филипповна,Undirected,Цыгане,2
Семен Семенович,Undirected,Серафима Ильинична,9
Семен Семенович,Undirected,Старушка,2
Семен Семенович,Undirected,Степан Васильевич,1
Семен Семенович,Undirected,Хор,1
Семен Семенович,Undirected,Цыгане,2
Серафима Ильинична,Undirected,Хор,3
Степан Васильевич,Undirected,Цыгане,1
